id,name,email,password,registration_dt,last_login_dt,is_admin
1,Wilburn Cantrell,option2012@duck.com,1p&s?:Yn,1626978628,1614977708,False
2,Hannelore Nieves,ecology1975@example.org,68((`MJ&,1361274511,1579183673,True
3,Wilbur Russell,reject1861@gmail.com,JFB0!@MV,1061067953,1431742660,False
4,Danyelle Ross,eastern2048@outlook.com,nzb)qv$N,1026570814,1485702061,True
5,Diamond Anthony,transmitted1921@example.org,nx:L'qYy,957915595,992294233,False
6,Sean Bennett,jacket1828@gmail.com,/yYI7+0U,1252134512,1512115256,False
7,Micheline Blevins,restructuring2097@yahoo.com,xQ~>1msQ,1225308277,1223619073,True
8,King Sanders,badge1938@protonmail.com,hoTsIq{z,1387696822,1209436807,False
9,Abel Henry,estates2046@example.org,qZ:O?_~_,1294857567,1644657313,False
10,Julietta Gentry,discrete1930@example.org,\nJ1]2ho,1004830799,1563733359,True
